ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
Liebestraum No. 3,Franz Liszt,-,4:49,https://www.youtube.com/embed/MBOa-2b4uQQ?si=MelIFuznxz2JPmFC,Classical,Night party,English
Moonlight Sonata,Ludwig van Beethoven,-,17:25,https://www.youtube.com/embed/4591dCHe_sE?si=OPDDcetCcXnTDe6w,Classical,Night party,English
Nocturne in E-flat major,Frédéric Chopin,-,4:29,https://www.youtube.com/embed/9E6b3swbnWg?si=boqYU2KLDsIGr0W9,Classical,Night party,English
The Swan,Camille Saint-Saëns,-,3:27,https://www.youtube.com/embed/b44-5M4e9nI?si=LrENxSIqwrtxcByj,Classical,Night party,English
Take Five,Dave Brubeck,-,5:25,https://www.youtube.com/embed/-DHuW1h1wHw?si=hnutj1j6QAribOoC,Jazz,Night party,English
Feeling Good,Nina Simone,-,3:02,https://www.youtube.com/embed/oHRNrgDIJfo?si=p-ZqodkOShkwFz8P,Jazz,Night party,English
Summertime,Ella Fitzgerald & Louis Armstrong,-,4:56,https://www.youtube.com/embed/2HJCN3upMHE?si=Xy1lvJrcmniFo_Ex,Jazz,Night party,English
Fly Me to the Moon,Frank Sinatra,-,2:27,https://www.youtube.com/embed/ZEcqHA7dbwM?si=DU-6-eXrCtzhkLN4,Jazz,Night party,English
What a Wonderful World,Louis Armstrong,-,2:18,https://www.youtube.com/embed/rBrd_3VMC3c?si=6vGVXPbwT_Ppx8ei,Jazz,Night party,English
Unforgettable,Nat King Cole,-,3:12,https://www.youtube.com/embed/vDN5rG3wLa4?si=n7vpV85v71pzGi8U,Jazz,Night party,English
Ain’t Misbehavin’,Fats Waller,-,2:46,https://www.youtube.com/embed/PSNPpssruFY?si=hM7SpFQDD6wK-uGj,Jazz,Night party,English
So What,Miles Davis,-,9:06,https://www.youtube.com/embed/zqNTltOGh5c?si=N1hWiqi5SIQ9ZnBM,Jazz,Night party,English
Blue in Green,Miles Davis,-,5:34,https://www.youtube.com/embed/wUn4zV5mfNs?si=eS4LiTSxISxQkd0-,Jazz,Night party,English
Moanin’,Charles Mingus,-,9:02,https://www.youtube.com/embed/__OSyznVDOY?si=CwlM0N9MWrpbPX5V,Jazz,Night party,English
Style,Taylor Swift,-,4:03,https://www.youtube.com/embed/-CmadmM5cOk?si=caBkNjSXQPwZBCUi,Pop,Night party,English
Viva La Vida,Coldplay,-,4:02,https://www.youtube.com/embed/dvgZkm1xWPE?si=-hQPtgBkhMmIdRTy,Pop,Night party,English
Young and Beautiful,Lana Del Rey,-,3:58,https://www.youtube.com/embed/o_1aF54DO60?si=qChqI0dtOymw7Eg5,Pop,Night party,English
